adjusted points,att bps,cost,def bps,event id,ga,gd,gf,home,mins,opponent,pas bps,player id,player name,points,position id,round,season,team id
6.0,4.0,,0.0,8.0,,,,0.0,90.0,ORL,0.0,239.0,David Villa,6.0,4.0,1.0,2017.0,
2.0,0.0,,1.0,8.0,,,,0.0,83.0,ORL,0.0,240.0,Alexander Ring,2.0,3.0,1.0,2017.0,
4.0,0.0,,2.0,10.0,,,,0.0,90.0,ATL,0.0,242.0,Luis Robles,4.0,1.0,1.0,2017.0,
3.0,1.0,,0.0,10.0,,,,0.0,90.0,ATL,0.0,250.0,Kemar Lawrence,3.0,2.0,1.0,2017.0,
2.0,0.0,,1.0,10.0,,,,0.0,90.0,ATL,0.0,251.0,Sal Zizzo,2.0,2.0,1.0,2017.0,
1.0,0.0,,0.0,10.0,,,,0.0,90.0,ATL,0.0,252.0,Damien Perrinelle,1.0,2.0,1.0,2017.0,
3.0,0.0,,1.0,10.0,,,,0.0,68.0,ATL,0.0,253.0,Sean Davis,3.0,3.0,1.0,2017.0,
3.0,0.0,,1.0,10.0,,,,0.0,90.0,ATL,0.0,255.0,Felipe Martins,3.0,3.0,1.0,2017.0,
8.0,2.0,,1.0,10.0,,,,0.0,90.0,ATL,0.0,257.0,Sacha Kljestan,8.0,3.0,1.0,2017.0,
1.0,0.0,,0.0,10.0,,,,0.0,53.0,ATL,0.0,260.0,Alex Muyl,1.0,3.0,1.0,2017.0,
9.0,0.0,,2.0,10.0,,,,0.0,90.0,ATL,0.0,261.0,Daniel Royer,9.0,3.0,1.0,2017.0,
2.0,0.0,,0.0,10.0,,,,0.0,90.0,ATL,0.0,265.0,Bradley Wright-Phillips,2.0,4.0,1.0,2017.0,
11.0,0.0,,4.0,8.0,,,,1.0,90.0,NYC,0.0,267.0,Joe Bendik,11.0,1.0,1.0,2017.0,
9.0,0.0,,2.0,8.0,,,,1.0,90.0,NYC,0.0,271.0,Jose Aja,9.0,2.0,1.0,2017.0,
7.0,0.0,,0.0,8.0,,,,1.0,90.0,NYC,0.0,280.0,Donny Toia,7.0,2.0,1.0,2017.0,
10.0,0.0,,3.0,8.0,,,,1.0,90.0,NYC,0.0,281.0,Jonathan Spector,10.0,2.0,1.0,2017.0,
3.0,0.0,,0.0,8.0,,,,1.0,90.0,NYC,0.0,282.0,Servando Carrasco,3.0,3.0,1.0,2017.0,
3.0,0.0,,1.0,8.0,,,,1.0,90.0,NYC,0.0,285.0,Will Johnson,3.0,3.0,1.0,2017.0,
4.0,0.0,,1.0,8.0,,,,1.0,90.0,NYC,0.0,288.0,Antonio Nocerino,4.0,3.0,1.0,2017.0,
4.0,0.0,,1.0,8.0,,,,1.0,88.0,NYC,0.0,289.0,Matias Perez Garcia,4.0,3.0,1.0,2017.0,
6.0,0.0,,0.0,8.0,,,,1.0,90.0,NYC,0.0,290.0,Carlos Rivas,6.0,3.0,1.0,2017.0,
7.0,0.0,,0.0,8.0,,,,1.0,73.0,NYC,0.0,294.0,Cyle Larin,7.0,4.0,1.0,2017.0,
9.0,0.0,,2.0,11.0,,,,0.0,90.0,VAN,0.0,296.0,Andre Blake,9.0,1.0,1.0,2017.0,
7.0,0.0,,0.0,11.0,,,,0.0,90.0,VAN,0.0,298.0,Fabio Alves,7.0,2.0,1.0,2017.0,
8.0,0.0,,1.0,11.0,,,,0.0,90.0,VAN,0.0,300.0,Richie Marquez,8.0,2.0,1.0,2017.0,
8.0,0.0,,1.0,11.0,,,,0.0,90.0,VAN,0.0,301.0,Keegan Rosenberry,8.0,2.0,1.0,2017.0,
4.0,0.0,,0.0,11.0,,,,0.0,90.0,VAN,1.0,308.0,Alejandro Bedoya,4.0,3.0,1.0,2017.0,
5.0,0.0,,2.0,11.0,,,,0.0,90.0,VAN,0.0,311.0,Derrick Jones,5.0,3.0,1.0,2017.0,
3.0,0.0,,0.0,11.0,,,,0.0,70.0,VAN,0.0,314.0,Chris Pontius,3.0,3.0,1.0,2017.0,
2.0,0.0,,0.0,11.0,,,,0.0,90.0,VAN,1.0,316.0,Fabian Herbers,2.0,4.0,1.0,2017.0,
2.0,0.0,,0.0,11.0,,,,0.0,60.0,VAN,0.0,318.0,Jay Simpson,2.0,4.0,1.0,2017.0,
9.0,0.0,,2.0,11.0,,,,0.0,90.0,VAN,0.0,319.0,Oguchi Onyewu,9.0,2.0,1.0,2017.0,
2.0,0.0,,0.0,4.0,,,,1.0,90.0,MIN,0.0,321.0,Jake Gleeson,2.0,1.0,1.0,2017.0,
5.0,0.0,,3.0,4.0,,,,1.0,90.0,MIN,0.0,329.0,Alvas Powell,5.0,2.0,1.0,2017.0,
4.0,0.0,,2.0,4.0,,,,1.0,90.0,MIN,0.0,330.0,Liam Ridgewell,4.0,2.0,1.0,2017.0,
7.0,0.0,,1.0,4.0,,,,1.0,90.0,MIN,1.0,332.0,Vytautas Andriuskevicius,7.0,2.0,1.0,2017.0,
3.0,0.0,,1.0,4.0,,,,1.0,90.0,MIN,1.0,336.0,Diego Chara,3.0,3.0,1.0,2017.0,
8.0,1.0,,1.0,4.0,,,,1.0,90.0,MIN,1.0,337.0,Darlington Nagbe,8.0,3.0,1.0,2017.0,
16.0,1.0,,0.0,4.0,,,,1.0,85.0,MIN,0.0,338.0,Diego Valeri,16.0,3.0,1.0,2017.0,
6.0,1.0,,2.0,4.0,,,,1.0,90.0,MIN,1.0,340.0,David Guzman,6.0,3.0,1.0,2017.0,
16.0,4.0,,0.0,4.0,,,,1.0,90.0,MIN,0.0,341.0,Fanendo Adi,16.0,4.0,1.0,2017.0,
9.0,0.0,,3.0,5.0,,,,1.0,90.0,TOR,0.0,347.0,Nick Rimando,14.0,1.0,1.0,2017.0,
9.0,1.0,,1.0,5.0,,,,1.0,90.0,TOR,0.0,349.0,Tony Beltran,9.0,2.0,1.0,2017.0,
6.0,0.0,,0.0,5.0,,,,1.0,90.0,TOR,0.0,353.0,Chris Schuler,6.0,2.0,1.0,2017.0,
9.0,0.0,,2.0,5.0,,,,1.0,90.0,TOR,0.0,354.0,Chris Wingert,9.0,2.0,1.0,2017.0,
8.0,0.0,,1.0,5.0,,,,1.0,90.0,TOR,0.0,355.0,David Horst,8.0,2.0,1.0,2017.0,
4.0,0.0,,1.0,5.0,,,,1.0,86.0,TOR,0.0,357.0,Jordan Allen,4.0,3.0,1.0,2017.0,
8.0,2.0,,3.0,5.0,,,,1.0,90.0,TOR,0.0,358.0,Kyle Beckerman,8.0,3.0,1.0,2017.0,
5.0,1.0,,1.0,5.0,,,,1.0,90.0,TOR,0.0,362.0,Albert Rusnak,5.0,3.0,1.0,2017.0,
3.0,0.0,,0.0,5.0,,,,1.0,77.0,TOR,1.0,363.0,Sunday Stephen,3.0,3.0,1.0,2017.0,
2.0,0.0,,0.0,5.0,,,,1.0,68.0,TOR,0.0,365.0,Yura Movsisyan,2.0,4.0,1.0,2017.0,
