event_id,home,opp_adjusted_points,opp_aps,opp_ass,opp_att_bps,opp_att_points,opp_bc,opp_blk,opp_br,opp_cl,opp_crs,opp_def_bps,opp_def_points,opp_elg,opp_gls,opp_intc,opp_kp,opp_og,opp_oga,opp_pas_bps,opp_pcp,opp_pe,opp_pm,opp_ps,opp_pss,opp_rc,opp_sh,opp_sv,opp_tck,opp_total_bps,opp_wf,opp_yc,opponent,round,season,team,team_adjusted_points,team_aps,team_ass,team_att_bps,team_att_points,team_bc,team_blk,team_br,team_cl,team_crs,team_def_bps,team_def_points,team_elg,team_gls,team_intc,team_kp,team_og,team_oga,team_pas_bps,team_pcp,team_pe,team_pm,team_ps,team_pss,team_rc,team_sh,team_sv,team_tck,team_total_bps,team_wf,team_yc
6,1,72.0,380.0,0.0,8.0,8.0,0.0,2.0,74.0,26.0,10.0,13.0,43.0,0.0,0.0,14.0,11.0,0.0,0.0,1.0,0.7867494824016563,0.0,0.0,1.0,483.0,0.0,15.0,5.0,19.0,22.0,20.0,2.0,SKC,1,2017,DC,67.0,196.0,0.0,2.0,2.0,0.0,5.0,77.0,24.0,2.0,16.0,42.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.6282051282051282,1.0,1.0,0.0,312.0,0.0,9.0,5.0,28.0,18.0,10.0,2.0
6,0,67.0,196.0,0.0,2.0,2.0,0.0,5.0,77.0,24.0,2.0,16.0,42.0,0.0,0.0,10.0,7.0,0.0,0.0,0.0,0.6282051282051282,1.0,1.0,0.0,312.0,0.0,9.0,5.0,28.0,18.0,10.0,2.0,DC,1,2017,SKC,72.0,380.0,0.0,8.0,8.0,0.0,2.0,74.0,26.0,10.0,13.0,43.0,0.0,0.0,14.0,11.0,0.0,0.0,1.0,0.7867494824016563,0.0,0.0,1.0,483.0,0.0,15.0,5.0,19.0,22.0,20.0,2.0
7,1,47.0,471.0,0.0,2.0,7.0,0.0,9.0,60.0,26.0,8.0,14.0,10.0,0.0,1.0,11.0,11.0,0.0,0.0,8.0,0.8425760286225402,0.0,0.0,0.0,559.0,0.0,14.0,3.0,19.0,24.0,8.0,2.0,SEA,1,2017,HOU,57.0,225.0,1.0,5.0,18.0,1.0,3.0,69.0,25.0,8.0,14.0,14.0,0.0,2.0,9.0,9.0,0.0,0.0,1.0,0.7305194805194806,0.0,0.0,0.0,308.0,0.0,17.0,3.0,26.0,20.0,10.0,1.0
7,0,57.0,225.0,1.0,5.0,18.0,1.0,3.0,69.0,25.0,8.0,14.0,14.0,0.0,2.0,9.0,9.0,0.0,0.0,1.0,0.7305194805194806,0.0,0.0,0.0,308.0,0.0,17.0,3.0,26.0,20.0,10.0,1.0,HOU,1,2017,SEA,47.0,471.0,0.0,2.0,7.0,0.0,9.0,60.0,26.0,8.0,14.0,10.0,0.0,1.0,11.0,11.0,0.0,0.0,8.0,0.8425760286225402,0.0,0.0,0.0,559.0,0.0,14.0,3.0,19.0,24.0,8.0,2.0
8,0,74.0,171.0,2.0,1.0,12.0,1.0,0.0,57.0,35.0,3.0,13.0,38.0,0.0,1.0,13.0,7.0,0.0,0.0,0.0,0.6576923076923077,0.0,0.0,0.0,260.0,0.0,7.0,7.0,17.0,14.0,11.0,1.0,ORL,1,2017,NYC,41.0,454.0,0.0,6.0,6.0,2.0,2.0,66.0,9.0,8.0,8.0,8.0,0.0,0.0,5.0,11.0,0.0,0.0,4.0,0.8423005565862709,0.0,0.0,0.0,539.0,0.0,14.0,0.0,19.0,18.0,9.0,2.0
8,1,41.0,454.0,0.0,6.0,6.0,2.0,2.0,66.0,9.0,8.0,8.0,8.0,0.0,0.0,5.0,11.0,0.0,0.0,4.0,0.8423005565862709,0.0,0.0,0.0,539.0,0.0,14.0,0.0,19.0,18.0,9.0,2.0,NYC,1,2017,ORL,74.0,171.0,2.0,1.0,12.0,1.0,0.0,57.0,35.0,3.0,13.0,38.0,0.0,1.0,13.0,7.0,0.0,0.0,0.0,0.6576923076923077,0.0,0.0,0.0,260.0,0.0,7.0,7.0,17.0,14.0,11.0,1.0
9,0,78.0,309.0,1.0,7.0,15.0,2.0,1.0,69.0,16.0,6.0,10.0,39.0,0.0,1.0,24.0,11.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,412.0,0.0,17.0,0.0,17.0,18.0,17.0,2.0,SJ,1,2017,MTL,34.0,262.0,0.0,1.0,1.0,0.0,5.0,62.0,24.0,2.0,10.0,10.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.6949602122015915,0.0,0.0,0.0,377.0,1.0,5.0,3.0,12.0,11.0,12.0,2.0
9,1,34.0,262.0,0.0,1.0,1.0,0.0,5.0,62.0,24.0,2.0,10.0,10.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,0.6949602122015915,0.0,0.0,0.0,377.0,1.0,5.0,3.0,12.0,11.0,12.0,2.0,MTL,1,2017,SJ,78.0,309.0,1.0,7.0,15.0,2.0,1.0,69.0,16.0,6.0,10.0,39.0,0.0,1.0,24.0,11.0,0.0,0.0,1.0,0.75,0.0,0.0,0.0,412.0,0.0,17.0,0.0,17.0,18.0,17.0,2.0
10,1,45.0,210.0,1.0,3.0,11.0,0.0,5.0,63.0,15.0,4.0,13.0,13.0,0.0,2.0,10.0,5.0,0.0,1.0,0.0,0.6104651162790697,0.0,0.0,0.0,344.0,0.0,9.0,3.0,22.0,16.0,15.0,2.0,NY,1,2017,ATL,52.0,310.0,1.0,5.0,13.0,2.0,3.0,75.0,19.0,3.0,17.0,13.0,0.0,1.0,23.0,9.0,1.0,0.0,2.0,0.7328605200945626,0.0,0.0,0.0,423.0,1.0,14.0,4.0,26.0,24.0,11.0,1.0
10,0,52.0,310.0,1.0,5.0,13.0,2.0,3.0,75.0,19.0,3.0,17.0,13.0,0.0,1.0,23.0,9.0,1.0,0.0,2.0,0.7328605200945626,0.0,0.0,0.0,423.0,1.0,14.0,4.0,26.0,24.0,11.0,1.0,ATL,1,2017,NY,45.0,210.0,1.0,3.0,11.0,0.0,5.0,63.0,15.0,4.0,13.0,13.0,0.0,2.0,10.0,5.0,0.0,1.0,0.0,0.6104651162790697,0.0,0.0,0.0,344.0,0.0,9.0,3.0,22.0,16.0,15.0,2.0
