2018 player id,2018 player name,2018 position id,2018 team id,2017 player id,2017 player name,2017 position id,new player id
110118.0,Matt Lampson,1.0,6977.0,2.0,Matt Lampson,1.0,110118.0
133042.0,Jonathan Campbell,2.0,1207.0,3.0,Jonathan Campbell,2.0,133042.0
86898.0,Johan Kappelhof,2.0,1207.0,6.0,Johan Kappelhof,2.0,86898.0
172474.0,Brandon Vincent,2.0,1207.0,8.0,Brandon Vincent,2.0,172474.0
41625.0,Arturo Alvarez,3.0,1897.0,9.0,Arturo Alvarez,3.0,41625.0
220580.0,Drew Conner,3.0,1207.0,10.0,Drew Conner,3.0,220580.0
41626.0,Dax McCarty,3.0,1207.0,14.0,Dax McCarty,3.0,41626.0
197428.0,Matt Polster,2.0,1207.0,15.0,Matt Polster,3.0,197428.0
246874.0,Djordje Mihailovic,3.0,1207.0,16.0,Djordje Mihailovic,3.0,246874.0
126174.0,David Accam,3.0,5513.0,17.0,David Accam,4.0,126174.0
66238.0,Michael de Leeuw,4.0,1207.0,20.0,Michael de Leeuw,4.0,66238.0
82064.0,Nemanja Nikolic,4.0,1207.0,21.0,Nemanja Nikolic,4.0,82064.0
152151.0,Luis Solignac,3.0,1207.0,22.0,Luis Solignac,4.0,152151.0
245013.0,Daniel Johnson,3.0,1207.0,23.0,Daniel Johnson,3.0,245013.0
245017.0,Stefan Cleveland,1.0,1207.0,24.0,Stefan Cleveland,1.0,245017.0
15337.0,Tim Howard,1.0,436.0,26.0,Tim Howard,1.0,15337.0
95276.0,Zac MacMath,1.0,436.0,27.0,Zac MacMath,1.0,95276.0
41492.0,Marc Burch,2.0,6977.0,28.0,Marc Burch,2.0,41492.0
234251.0,Kortne Ford,2.0,436.0,31.0,Kortne Ford,2.0,234251.0
164480.0,Eric Miller,2.0,436.0,32.0,Eric Miller,2.0,164480.0
202407.0,Axel Sjoberg,2.0,436.0,33.0,Axel Sjoberg,2.0,202407.0
131833.0,Jared Watts,2.0,436.0,34.0,Jared Watts,2.0,131833.0
163042.0,Micheal Azira,3.0,436.0,36.0,Michael Azira,3.0,163042.0
60235.0,Sam Cronin,3.0,6977.0,37.0,Sam Cronin,3.0,60235.0
177954.0,Marlon Hairston,2.0,436.0,38.0,Marlon Hairston,3.0,177954.0
245617.0,Ricardo Perez,3.0,436.0,39.0,Ricardo Perez,3.0,245617.0
78015.0,Dillon Powers,3.0,6900.0,40.0,Dillon Powers,3.0,78015.0
151954.0,Dillon Serna,3.0,436.0,41.0,Dillon Serna,3.0,151954.0
116185.0,Bismark Adjei-Boateng,3.0,436.0,42.0,Bismark Adjei-Boateng,3.0,116185.0
202376.0,Dominique Badji,4.0,436.0,43.0,Dominique Badji,4.0,202376.0
166317.0,Caleb Calvert,4.0,436.0,44.0,Caleb Calvert,4.0,166317.0
41921.0,Shkelzen Gashi,3.0,436.0,45.0,Shkelzen Gashi,4.0,41921.0
41667.0,Alan Gordon,4.0,1207.0,46.0,Alan Gordon,4.0,41667.0
164484.0,Zack Steffen,1.0,454.0,48.0,Zack Steffen,1.0,164484.0
151939.0,Brad Stuver,1.0,9668.0,49.0,Brad Stuver,1.0,151939.0
244927.0,Lalas Abubakar,2.0,454.0,50.0,Lalas Abubakar,2.0,244927.0
49483.0,Harrison Afful,2.0,454.0,51.0,Harrison Afful,2.0,49483.0
234406.0,Alex Crognale,2.0,454.0,52.0,Alex Crognale,2.0,234406.0
121332.0,Waylon Francis,2.0,3500.0,53.0,Waylon Francis,2.0,121332.0
66905.0,Jonathan Mensah,2.0,454.0,54.0,Jonathan Mensah,2.0,66905.0
62535.0,Jukka Raitala,2.0,1616.0,56.0,Jukka Raitala,2.0,62535.0
60716.0,Gaston Sauro,2.0,454.0,57.0,Gaston Sauro,2.0,60716.0
94479.0,Josh Williams,2.0,454.0,58.0,Josh Williams,2.0,94479.0
95545.0,Mohammed Abu,3.0,454.0,59.0,Mohammed Abu,3.0,95545.0
110583.0,Ethan Finlay,3.0,6977.0,61.0,Ethan Finlay,3.0,110583.0
244998.0,Niko Hansen,3.0,454.0,62.0,Niko Hansen,3.0,244998.0
47681.0,Federico Higuain,3.0,454.0,63.0,Federico Higuain,3.0,47681.0
94934.0,Hector Jimenez,2.0,454.0,65.0,Hector Jimenez,3.0,94934.0
226637.0,Cristian Martinez,3.0,454.0,66.0,Cristian Martinez,3.0,226637.0
94368.0,Justin Meram,3.0,6900.0,67.0,Justin Meram,3.0,94368.0
82516.0,Tony Tchani,3.0,1207.0,70.0,Tony Tchani,3.0,82516.0
148995.0,Wil Trapp,3.0,454.0,71.0,Will Trapp,3.0,148995.0
152253.0,Adam Jahn,4.0,454.0,73.0,Adam Jahn,4.0,152253.0
55758.0,Ola Kamara,4.0,1230.0,74.0,Ola Kamara,4.0,55758.0
205343.0,Travis Worra,1.0,1326.0,78.0,Travis Worra,1.0,205343.0
129430.0,Steve Birnbaum,2.0,1326.0,79.0,Steve Birnbaum,2.0,129430.0
50122.0,Sean Franklin,2.0,1708.0,81.0,Sean Franklin,2.0,50122.0
116656.0,Taylor Kemp,2.0,1326.0,82.0,Taylor Kemp,2.0,116656.0
234432.0,Chris Odoi-Atsem,2.0,1326.0,83.0,Chris Odoi-Atsem,2.0,234432.0
151935.0,Kofi Opare,2.0,1326.0,84.0,Kofi Opare,2.0,151935.0
131839.0,Jalen Robinson,2.0,1326.0,85.0,Jalen Robinson,2.0,131839.0
179384.0,Luciano Acosta,3.0,1326.0,86.0,Luciano Acosta,3.0,179384.0
