player,points,position id,price,last 4 avg,last 4,last 2 avg,(price / 1.5) * 5,need
Aurelien Collin,31,2,5.0,1.75,7.0,1.0,16.666666666666668,9.666666666666668
Demar Phillips,21,2,4.5,3.0,12.0,1.5,15.0,3.0
Federico Higuain,118,3,10.0,3.25,13.0,4.5,33.333333333333336,20.333333333333336
Jordon Mutch,30,3,6.0,4.0,16.0,3.5,20.0,4.0
Harrison Afful,111,2,6.5,4.25,17.0,4.0,21.666666666666668,4.666666666666668
Victor Vazquez,85,3,9.5,4.5,18.0,4.0,31.666666666666668,13.666666666666668
Brek Shea,51,3,5.4,3.25,13.0,4.0,18.0,5.0
Shea Salinas,46,2,5.5,4.25,17.0,6.5,18.333333333333332,1.3333333333333321
Roger Espinoza,107,3,8.5,5.75,23.0,5.0,28.333333333333332,5.333333333333332
Sean Franklin,24,2,4.6,2.25,9.0,1.5,15.333333333333334,6.333333333333334
David Horst,24,2,4.5,5.25,21.0,3.5,15.0,-6.0
Chris Tierney,25,2,4.5,2.25,9.0,1.0,15.0,6.0
Gustav Svensson,74,3,6.5,5.0,20.0,5.5,21.666666666666668,1.6666666666666679
Florian Jungwirth,102,3,7.0,4.0,16.0,2.5,23.333333333333332,7.333333333333332
David Ousted,22,1,4.9,2.75,11.0,2.0,16.333333333333332,5.333333333333332
Edgar Castillo,97,2,6.5,5.25,21.0,6.0,21.666666666666668,0.6666666666666679
Efrain Juarez,44,3,6.0,3.25,13.0,0.5,20.0,7.0
Vytautas Andriuskevicius,0,2,5.0,1.0,4.0,1.0,16.666666666666668,12.666666666666668
Jared Jeffrey,2,3,4.5,2.0,8.0,2.0,15.0,7.0
Danny Hoesen,105,4,9.0,1.75,7.0,1.5,30.0,23.0
Boniek Garcia,97,3,6.3,3.75,15.0,2.0,21.0,6.0
Ola Kamara,96,4,9.0,6.0,24.0,4.5,30.0,6.0
Diego Valeri,165,3,11.5,10.5,42.0,12.5,38.333333333333336,-3.6666666666666643
Sebastian Blanco,108,3,9.0,5.25,21.0,5.5,30.0,9.0
Maximiliano Moralez,211,3,12.0,8.0,32.0,6.5,40.0,8.0
Felipe Martins,136,3,7.5,2.5,10.0,2.5,25.0,15.0
Mauro Diaz,86,3,10.9,7.5,30.0,10.0,36.333333333333336,6.333333333333336
Guram Kashia,13,2,6.0,4.333333333333333,17.333333333333332,5.5,20.0,2.666666666666668
Maxime Chanot,84,2,7.0,7.5,30.0,6.5,23.333333333333332,-6.666666666666668
Kelvin Leerdam,44,2,6.0,4.5,18.0,5.0,20.0,2.0
Alfredo Ortuno,2,4,6.0,1.3333333333333333,5.333333333333333,1.5,20.0,14.666666666666668
Carlos Darwin Quintero,143,4,12.0,10.75,43.0,10.0,40.0,-3.0
Mike Grella,24,3,6.0,2.5,10.0,2.5,20.0,10.0
Jerome Thiesson,33,2,5.5,4.25,17.0,3.0,18.333333333333332,1.3333333333333321
Baggio Husidic,12,3,5.0,1.5,6.0,1.0,16.666666666666668,10.666666666666668
Chris Pontius,83,3,6.1,2.25,9.0,2.5,20.333333333333332,11.333333333333332
Rodney Wallace,29,3,5.5,2.5,10.0,2.0,18.333333333333332,8.333333333333332
Matt Besler,131,2,7.5,5.75,23.0,7.5,25.0,2.0
