player_id,season,sh_mean,sh_25%,sh_75%,crs_mean,crs_25%,crs_75%,kp_mean,kp_25%,kp_75%,bc_mean,bc_25%,bc_75%,wf_mean,wf_25%,wf_75%,oga_mean,oga_25%,oga_75%,pe_mean,pe_25%,pe_75%,gls_mean,gls_25%,gls_75%,games,ass_mean,ass_25%,ass_75%,cl_mean,cl_25%,cl_75%,blk_mean,blk_25%,blk_75%,intc_mean,intc_25%,intc_75%,tck_mean,tck_25%,tck_75%,br_mean,br_25%,br_75%,sv_mean,sv_25%,sv_75%,cs_mean,cs_25%,cs_75%,gc_mean,gc_25%,gc_75%,pss_mean,pss_25%,pss_75%,aps_mean,aps_25%,aps_75%,pcp_mean,pcp_25%,pcp_75%,yc_mean,yc_25%,yc_75%,mins_mean,mins_25%,mins_75%,cl+blk+intc+br_mean,cl+blk+intc+br_25%,cl+blk+intc+br_75%,player_name,position_id
47.0,2017,2.16,1.0,3.0,0.4,0.0,1.0,0.96,0.0,1.0,0.16,0.0,0.0,0.72,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,25,0.16,0.0,0.0,0.84,0.0,1.0,0.08,0.0,0.0,0.12,0.0,0.0,0.72,0.0,1.0,2.88,1.0,5.0,0.0,0.0,0.0,0.16,0.0,0.0,1.36,1.0,2.0,23.08,19.0,30.0,16.56,13.0,23.0,0.7137481939430181,0.6428571428571429,0.7647058823529411,0.2,0.0,0.0,78.52,78.0,90.0,3.92,2.0,6.0,Kevin Doyle,4.0
55.0,2017,0.5,0.0,1.0,0.05555555555555555,0.0,0.0,0.16666666666666666,0.0,0.0,0.05555555555555555,0.0,0.0,0.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,2.611111111111111,1.0,3.0,0.8333333333333334,0.0,1.0,1.7222222222222223,1.0,2.75,1.1666666666666667,1.0,1.0,3.7777777777777777,2.0,4.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,1.5,0.25,2.0,47.833333333333336,30.75,63.75,41.0,23.5,55.5,0.8457981318162173,0.8359375,0.8888888888888888,0.05555555555555555,0.0,0.0,81.88888888888889,90.0,90.0,8.944444444444445,6.0,12.75,Nicolai Naess,2.0
60.0,2017,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.6666666666666666,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.3333333333333333,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.5,1.3333333333333333,1.0,2.0,2.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.5,18.333333333333332,10.0,27.5,11.666666666666666,7.0,17.5,0.4333333333333333,0.3,0.6499999999999999,0.0,0.0,0.0,50.0,30.0,74.5,2.6666666666666665,1.5,4.0,Dilly Duka,3.0
75.0,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24,0.0,0.0,0.0,0.625,0.0,1.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.041666666666666664,0.0,0.0,10.25,8.0,12.0,4.083333333333333,3.0,5.0,0.25,0.0,0.25,1.4583333333333333,0.75,2.0,24.333333333333332,20.25,28.0,11.875,9.0,14.5,0.4897766535971342,0.3883928571428572,0.6085829493087557,0.0,0.0,0.0,90.0,90.0,90.0,10.916666666666666,8.0,12.25,Bill Hamid,1.0
80.0,2017,0.6363636363636364,0.0,1.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,11,0.0,0.0,0.0,4.545454545454546,2.0,6.5,0.36363636363636365,0.0,1.0,2.0,1.0,2.5,1.1818181818181819,0.0,2.0,2.727272727272727,1.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.9090909090909092,1.0,2.5,33.81818181818182,25.0,44.0,25.636363636363637,16.0,37.0,0.7278490166549869,0.6776960784313726,0.8285714285714285,0.0,0.0,0.0,81.0,90.0,90.0,9.636363636363637,4.5,12.5,Bobby Boswell,2.0
87.0,2017,0.5714285714285714,0.0,0.5,0.8571428571428571,0.5,1.0,1.1428571428571428,1.0,1.5,0.0,0.0,0.0,0.7142857142857143,0.0,1.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.5,1.4285714285714286,0.0,2.5,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.2857142857142857,0.0,0.5,14.571428571428571,9.0,18.5,11.0,7.5,14.0,0.7790045422557739,0.6781609195402298,0.8712121212121213,0.0,0.0,0.0,26.0,8.5,36.5,1.5714285714285714,0.0,2.5,Julian Buescher,3.0
93.0,2017,1.2857142857142858,0.0,1.0,0.35714285714285715,0.0,0.75,1.2142857142857142,1.0,2.0,0.07142857142857142,0.0,0.0,2.142857142857143,1.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,14,0.14285714285714285,0.0,0.0,0.6428571428571429,0.0,1.0,0.0,0.0,0.0,1.0,0.25,1.75,2.4285714285714284,1.25,3.0,5.642857142857143,3.25,7.75,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,1.6428571428571428,0.25,2.75,21.0,17.5,25.75,14.857142857142858,12.0,18.75,0.7053009940279656,0.6327751196172249,0.7979166666666667,0.0,0.0,0.0,73.21428571428571,67.25,90.0,7.285714285714286,4.0,9.75,Patrick Nyarko,3.0
95.0,2017,0.8333333333333334,0.0,1.0,1.6666666666666667,0.0,2.75,1.7666666666666666,0.0,3.0,0.1,0.0,0.0,0.8333333333333334,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,30,0.2,0.0,0.0,0.3333333333333333,0.0,0.0,0.06666666666666667,0.0,0.0,0.5,0.0,1.0,0.7,0.0,1.0,3.966666666666667,2.0,4.75,0.0,0.0,0.0,0.13333333333333333,0.0,0.0,1.4,0.0,2.0,25.133333333333333,18.75,31.75,19.466666666666665,12.5,25.0,0.7708872019989471,0.7208806818181819,0.8524340770791075,0.16666666666666666,0.0,0.0,67.06666666666666,48.5,89.75,4.866666666666666,2.25,6.0,Lloyd Sam,3.0
96.0,2017,0.36,0.0,1.0,0.28,0.0,1.0,0.72,0.0,1.0,0.0,0.0,0.0,1.84,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25,0.04,0.0,0.0,1.08,0.0,2.0,0.28,0.0,0.0,2.2,1.0,3.0,2.16,1.0,4.0,7.76,6.0,11.0,0.0,0.0,0.0,0.16,0.0,0.0,1.44,0.0,2.0,39.96,31.0,51.0,31.48,24.0,40.0,0.7711688759196901,0.7333333333333333,0.8305084745762712,0.28,0.0,1.0,73.68,71.0,90.0,11.32,8.0,16.0,Marcelo Sarvas,3.0
97.0,2017,0.5,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.5,0.25,0.75,0.0,0.0,0.0,0.5,0.25,0.75,1.5,1.25,1.75,2.0,1.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.75,18.5,16.25,20.75,16.0,13.5,18.5,0.8493788819875776,0.8175465838509317,0.8812111801242236,1.0,1.0,1.0,33.5,31.75,35.25,3.0,2.0,4.0,Rob Vincent,3.0
