cost,event_id,home,opponent,player_id,player_name,position_id,round,season,team,dgw,alt_player_id,unique_round,dataset
6.3,1040187,1,MIN,201360.0,Andre Horta,3.0,26,2019,LAFC,0,201360,94.0,live
4.2,1040187,1,MIN,60536.0,Dejan Jakovic,2.0,26,2019,LAFC,0,60536,94.0,live
10.3,1040187,1,MIN,227731.0,Mark-Anthony Kaye,3.0,26,2019,LAFC,0,227731,94.0,live
7.9,1040187,1,MIN,202361.0,Tyler Miller,1.0,26,2019,LAFC,0,202361,94.0,live
6.3,1040187,1,MIN,28580.0,Lee Nguyen,3.0,26,2019,LAFC,0,28580,94.0,live
5.0,1040187,1,MIN,445236.0,Diego Palacios,2.0,26,2019,LAFC,0,445236,94.0,live
4.0,1040187,1,MIN,451489.0,Adrien Perez,3.0,26,2019,LAFC,0,451489,94.0,live
4.0,1040187,1,MIN,474174.0,Javi Perez,3.0,26,2019,LAFC,0,474174,94.0,live
4.8,1040187,1,MIN,176415.0,Josh Perez,3.0,26,2019,LAFC,0,176415,94.0,live
8.6,1040187,1,MIN,447202.0,Brian Rodriguez,4.0,26,2019,LAFC,0,447202,94.0,live
9.8,1040187,1,MIN,223256.0,Diego Rossi,4.0,26,2019,LAFC,0,223256,94.0,live
7.0,1040187,1,MIN,246283.0,Eddie Segura,2.0,26,2019,LAFC,0,246283,94.0,live
4.4,1040187,1,MIN,201168.0,Pablo Sisniega,1.0,26,2019,LAFC,0,201168,94.0,live
4.7,1040187,1,MIN,247675.0,Peter-Lee Vassell,3.0,26,2019,LAFC,0,247675,94.0,live
15.0,1040187,1,MIN,38401.0,Carlos Vela,4.0,26,2019,LAFC,0,38401,94.0,live
4.8,1040187,1,MIN,98918.0,Rodolfo Zelaya,4.0,26,2019,LAFC,0,98918,94.0,live
6.2,1040187,1,MIN,151933.0,Walker Zimmerman,2.0,26,2019,LAFC,0,151933,94.0,live
4.8,1040184,0,CLB,163042.0,Micheal Azira,3.0,26,2019,CHI,0,163042,94.0,live
