ICA1,ICA2,assists,assists std,bcc,bcc std,blocks,blocks std,clearances,clearances std,cluster,crosses,crosses std,games,goals,goals std,interceptions,interceptions std,key passes,key passes std,pass completion,pass completion std,passes attempted,passes attempted std,passes completed,passes completed std,player id,player name,position id,rc,rc std,recoveries,recoveries std,season,shots,shots std,tSNE1,tSNE2,tackles,tackles std,yc,yc std
0.016937671751925468,0.04498857274031219,0.0,0.0,0.0,0.0,0.125,0.33071891388307384,1.375,0.8569568250501305,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.5980467777836199,0.2011308353033368,15.25,5.695392874947259,25.125,3.1795243354942264,1,Jorge Rodrigo Bava,1,0.0,0.0,9.625,1.9324531042175384,2017,0.0,0.0,9.72248649597168,7.304738998413086,0.0,0.0,0.125,0.33071891388307384
-0.021655418237425172,0.06341644123883033,0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.1636866703140785,0.0,0.0,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.6594855875493054,0.1666317716476683,16.375,4.8288413033908375,25.625,7.004834639970692,2,Matt Lampson,1,0.0,0.0,9.916666666666666,2.5317429218272185,2017,0.0,0.0,3.5198872089385986,2.7109925746917725,0.08333333333333333,0.2763853991962833,0.16666666666666666,0.37267799624996506
-0.055004169459595756,0.047890602905065784,0.0,0.0,0.0,0.0,1.9,1.8681541692269408,3.9,2.2561028345356955,3.0,0.0,0.0,10,0.0,0.0,0.5,0.6708203932499369,0.2,0.4000000000000001,0.8224502395118833,0.0994094092031726,41.4,17.165080832900266,49.3,18.105524018928584,3,Jonathan Campbell,2,0.0,0.0,3.8,2.785677655436824,2017,0.1,0.30000000000000004,1.454696774482727,22.260997772216797,1.2,1.32664991614216,0.1,0.30000000000000004
0.07747630830376404,0.03396893452092017,0.5714285714285714,1.049781318335648,0.14285714285714285,0.34992710611188266,1.0,1.0690449676496976,2.0,1.0690449676496976,8.0,1.5714285714285714,1.049781318335648,7,0.0,0.0,0.0,0.0,2.0,0.7559289460184544,0.7512485217372437,0.059822556761905135,32.714285714285715,8.64728340024089,43.14285714285715,10.58878883440367,4,Patrick Doody,2,0.0,0.0,4.285714285714286,1.8294640678379568,2017,0.14285714285714285,0.3499271061118826,0.6193450093269348,5.464999198913574,1.0,1.0690449676496976,0.0,0.0
0.0356231451925616,0.017664593141357803,0.0,0.0,0.0,0.0,1.3333333333333333,0.6666666666666666,2.7777777777777777,2.9731307022799225,4.0,0.8888888888888888,0.7370277311900889,9,0.0,0.0,0.1111111111111111,0.31426968052735443,0.6666666666666666,0.6666666666666666,0.7484547001891417,0.1188424488561834,32.666666666666664,13.291601358251256,42.22222222222222,11.707336520108312,5,Michael Harrington,2,0.0,0.0,4.4444444444444455,2.9855619650098677,2017,0.0,0.0,1.3231033086776733,5.535251617431641,1.5555555555555556,1.1653431646335015,0.0,0.0
-0.07972689025253497,0.0694367783855626,0.12,0.32496153618543844,0.0,0.0,3.12,1.7508854902591433,4.12,3.6035538014576662,3.0,0.12,0.32496153618543844,25,0.0,0.0,0.56,0.8522910301065006,0.24,0.4270831300812524,0.8560921220846669,0.0904827455308982,45.8,15.362291495737214,52.84,15.24120730126062,6,Johan Kappelhof,2,0.0,0.0,3.64,2.1886982432487123,2017,0.16,0.3666060555964672,1.3179569244384766,27.220176696777344,2.24,1.606984754128053,0.16,0.3666060555964672
-0.1079807611435256,0.06745582112592802,0.08,0.2712931993250107,0.0,0.0,1.88,1.7045820602130013,4.64,2.5436980952935437,3.0,0.0,0.0,25,0.0,0.0,0.64,0.9748846085563152,0.08,0.2712931993250107,0.8795095286138881,0.06916180247020727,47.44,18.07557467966095,53.0,17.812355262569852,7,Joao Meira,2,0.0,0.0,4.44,2.333752343330372,2017,0.2,0.4,1.1516085863113403,27.921993255615234,1.12,1.2106196760337244,0.12,0.32496153618543844
0.02672119362484439,0.004594307819351036,0.2,0.4898979485566357,0.08,0.2712931993250107,1.12,0.9927738916792684,2.6,2.0591260281974,7.0,0.6,0.7483314773547882,25,0.08,0.2712931993250107,0.4,0.4898979485566357,0.84,0.8333066662399864,0.7733715876359891,0.12136726086240747,31.92,11.163941956137178,40.2,10.545141061171254,8,Brandon Vincent,2,0.0,0.0,4.04,2.6302851556437754,2017,0.64,0.8428523002282191,1.0238540172576904,1.0640126466751099,1.44,1.2026637102698323,0.12,0.32496153618543844
0.03947327322745888,0.004856877576623939,0.16666666666666666,0.3726779962499649,0.25,0.4330127018922193,0.6666666666666666,0.8498365855987975,0.8333333333333334,1.2801909579781012,10.0,0.75,1.0103629710818451,12,0.25,0.4330127018922193,0.0,0.0,1.6666666666666667,1.247219128924647,0.7695884527840501,0.054829486936462085,23.91666666666667,7.216397223607421,31.16666666666667,9.520445834565148,9,Arturo Alvarez,3,0.0,0.0,4.75,2.9190466480228325,2017,1.5833333333333333,1.2555432644432805,-1.7090201377868652,14.722307205200195,2.1666666666666665,1.6244657241348273,0.08333333333333333,0.2763853991962833
0.023405413485272163,0.0326780766118672,0.1,0.30000000000000004,0.0,0.0,1.0,1.095445115010332,0.8,0.9797958971132712,10.0,0.6,1.0198039027185568,10,0.0,0.0,0.1,0.30000000000000004,0.9,0.7000000000000001,0.8122973848792107,0.10992641977550204,25.2,8.4,30.6,8.822698000045111,10,Drew Conner,3,0.0,0.0,4.1,1.8138357147217052,2017,0.3,0.458257569495584,-3.358750581741333,14.680349349975586,1.1,0.8306623862918076,0.0,0.0
