index,cost,event id,home,player name,round,season,DGW,opp last 5 gf,opp last 5 ga,opp last 3 h adj gf,opp last 3 h adj ga,team id,last 3 adjusted points avg,last 5 adjusted points avg,last 5 adjusted points max,last 5 adjusted points min,last 5 adjusted points std dev,last 3 h adj adjusted points avg,last 5 att bps avg,last 5 def bps avg,last 5 pas bps avg,opp last 8 adjusted points conceded by cluster,opp last 5 adjusted points conceded by position,opp last 8 adjusted points conceded by position,position id_1.0,position id_2.0,position id_3.0,position id_4.0,opponent_ATL,opponent_CHI,opponent_CLB,opponent_COL,opponent_DAL,opponent_DC,opponent_HOU,opponent_LA,opponent_LAFC,opponent_MIN,opponent_MTL,opponent_NE,opponent_NY,opponent_NYC,opponent_ORL,opponent_PHI,opponent_POR,opponent_RSL,opponent_SEA,opponent_SJ,opponent_SKC,opponent_TOR,opponent_VAN,cluster_0.0,cluster_3.0,cluster_4.0,cluster_5.0,cluster_6.0,cluster_7.0,cluster_8.0,cluster_9.0,cluster_10.0,cluster_11.0,cluster_12.0,cluster_13.0,cluster_14.0,cluster_15.0,cluster_16.0,cluster_17.0,cluster_18.0,cluster_19.0,cluster_20.0,cluster_21.0,cluster_22.0,cluster_23.0,cluster_24.0,cluster_25.0,loo avg points season,loo avg points
16549,10.5,968592.0,0.0,Michael Barrios,31.0,2018.0,0,1.8,2.0,2.3333333333333335,0.6666666666666666,1903,7.0,7.0,11.0,3.0,2.915475947422653,7.0,1.6,0.2,0.0,4.125,6.6,5.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.12962962962963,5.08
16550,4.0,968592.0,0.0,Tesho Akindele,31.0,2018.0,0,1.8,2.0,2.3333333333333335,0.6666666666666666,1903,2.3333333333333335,2.4,4.0,1.0,1.1401754250991367,2.0,0.4,0.2,0.0,3.125,9.2,6.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.1739130434782608,2.142857142857143
16551,4.0,968592.0,0.0,Cristian Colman,31.0,2018.0,0,1.8,2.0,2.3333333333333335,0.6666666666666666,1903,4.666666666666667,4.0,10.0,2.0,3.391164991562634,4.666666666666667,0.6,0.4,0.0,5.625,9.2,6.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.4375,4.0
16553,6.1,968592.0,0.0,Dominique Badji,31.0,2018.0,0,1.8,2.0,2.3333333333333335,0.6666666666666666,1903,3.6666666666666665,2.6,7.0,1.0,2.5099800796022267,5.0,0.0,0.0,0.0,5.875,9.2,6.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4.60655737704918,4.84375
16556,4.0,968592.0,0.0,Paxton Pomykal,31.0,2018.0,0,1.8,2.0,2.3333333333333335,0.6666666666666666,1903,2.3333333333333335,2.3333333333333335,4.0,1.0,1.5275252316519468,3.0,0.0,0.3333333333333333,0.0,3.375,6.6,5.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.3333333333333335,2.0
16558,8.5,968592.0,0.0,Santiago Mosquera,31.0,2018.0,0,1.8,2.0,2.3333333333333335,0.6666666666666666,1903,8.333333333333334,7.4,13.0,4.0,3.4351128074635335,6.666666666666667,0.8,0.6,0.0,5.75,6.6,5.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.642857142857143,5.642857142857143
16559,5.0,968592.0,0.0,Jacori Hayes,31.0,2018.0,0,1.8,2.0,2.3333333333333335,0.6666666666666666,1903,3.6666666666666665,2.8,5.0,1.0,1.6431676725154982,3.6666666666666665,0.2,0.4,0.2,5.0,6.6,5.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.461538461538462,4.666666666666667
16562,4.0,968592.0,0.0,Kris Reaves,31.0,2018.0,0,1.8,2.0,2.3333333333333335,0.6666666666666666,1903,5.5,5.5,10.0,1.0,6.363961030678928,5.5,0.0,1.5,0.0,5.625,3.8,3.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,5.5
16563,7.2,968592.0,0.0,Reggie Cannon,31.0,2018.0,0,1.8,2.0,2.3333333333333335,0.6666666666666666,1903,4.666666666666667,4.2,8.0,2.0,2.280350850198275,3.6666666666666665,0.2,0.6,0.4,3.625,3.8,3.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.862068965517241,4.862068965517241
16568,10.4,968596.0,1.0,Bradley Wright-Phillips,31.0,2018.0,0,2.4,1.4,2.6666666666666665,2.0,399,8.0,6.4,17.0,1.0,6.387487769068527,4.333333333333333,0.2,0.0,0.0,4.125,5.4,6.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.2727272727272725,6.884615384615385
16570,8.9,968596.0,1.0,Luis Robles,31.0,2018.0,0,2.4,1.4,2.6666666666666665,2.0,399,5.666666666666667,6.8,10.0,3.0,3.1144823004794864,9.0,0.0,2.2,0.0,3.125,4.4,3.75,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.983606557377049,5.444444444444445
16571,5.0,968596.0,1.0,Aurelien Collin,31.0,2018.0,0,2.4,1.4,2.6666666666666665,2.0,399,4.0,4.4,9.0,1.0,3.5777087639996634,4.666666666666667,0.0,1.8,0.0,2.625,4.8,3.75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,4.4
16573,9.4,968596.0,1.0,Daniel Royer,31.0,2018.0,0,2.4,1.4,2.6666666666666665,2.0,399,2.6666666666666665,3.6,6.0,2.0,1.5165750888102951,6.333333333333333,0.2,0.4,0.0,4.0,2.8,3.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.0,5.681818181818182
16574,6.7,968596.0,1.0,Marc Rzatkowksi,31.0,2018.0,0,2.4,1.4,2.6666666666666665,2.0,399,2.3333333333333335,3.2,5.0,1.0,1.643167672515498,5.666666666666667,0.6,0.4,0.0,4.25,2.8,3.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.142857142857143,5.142857142857143
16575,4.0,968596.0,1.0,Connor Lade,31.0,2018.0,0,2.4,1.4,2.6666666666666665,2.0,399,3.6666666666666665,2.6,10.0,0.0,4.159326868617085,4.0,0.0,0.6,0.0,3.125,4.8,3.75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.933333333333333,4.642857142857143
16578,6.1,968596.0,1.0,Sean Davis,31.0,2018.0,0,2.4,1.4,2.6666666666666665,2.0,399,3.6666666666666665,4.0,6.0,2.0,1.8708286933869702,4.666666666666667,0.2,1.4,0.2,4.375,2.8,3.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.530612244897959,5.0
16580,8.4,968596.0,1.0,Aaron Long,31.0,2018.0,0,2.4,1.4,2.6666666666666665,2.0,399,6.333333333333333,6.0,9.0,2.0,2.9154759474226486,6.666666666666667,0.0,1.8,0.0,3.375,4.8,3.75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.385964912280702,5.851851851851852
16581,7.8,968596.0,1.0,Alejandro Romero Gamarra,31.0,2018.0,0,2.4,1.4,2.6666666666666665,2.0,399,4.666666666666667,4.8,10.0,2.0,3.563705936241086,6.333333333333333,0.4,0.2,0.2,5.375,2.8,3.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.1923076923076925,6.1923076923076925
16582,7.3,968596.0,1.0,Kemar Lawrence,31.0,2018.0,0,2.4,1.4,2.6666666666666665,2.0,399,4.0,4.4,9.0,1.0,4.219004621945798,7.333333333333333,0.0,1.0,0.0,3.375,4.8,3.75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.183673469387755,5.56
16583,4.5,968596.0,1.0,Carlos Rivas,31.0,2018.0,0,2.4,1.4,2.6666666666666665,2.0,399,6.0,4.4,14.0,2.0,5.366563145999495,6.333333333333333,0.2,0.0,0.0,3.8333333333333335,5.4,6.0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.24,6.0
16585,4.5,968596.0,1.0,Tommy Redding,31.0,2018.0,0,2.4,1.4,2.6666666666666665,2.0,399,1.0,1.6,3.0,0.0,1.1401754250991407,3.3333333333333335,0.0,0.8,0.0,2.375,4.8,3.75,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.588235294117647,1.0
