Attacking Midfielder,Attacking Winger,Center-back,Defensive Midfielder,Elite Forward,Full-back,High-volume Finisher,LDA_attack_component_1,LDA_attack_component_2,LDA_defense_component_1,LDA_defense_component_2,PCA_attack_component_1,PCA_attack_component_2,PCA_defense_component_1,PCA_defense_component_2,Poacher,Rounded Forward,Rounded Midfielder,Second Striker,UMAP_attack_component_1,UMAP_attack_component_2,UMAP_defense_component_1,UMAP_defense_component_2,Wing-back,Winger,aps_25%,aps_75%,aps_mean,ass_25%,ass_75%,ass_mean,bc_25%,bc_75%,bc_mean,blk_25%,blk_75%,blk_mean,br_25%,br_75%,br_mean,cl+blk+intc+br_25%,cl+blk+intc+br_75%,cl+blk+intc+br_mean,cl_25%,cl_75%,cl_mean,crs_25%,crs_75%,crs_mean,cs_25%,cs_75%,cs_mean,detailed_position_manual,detailed_position_max_prob,detailed_position_model,games,gc_25%,gc_75%,gc_mean,gls_25%,gls_75%,gls_mean,intc_25%,intc_75%,intc_mean,kp_25%,kp_75%,kp_mean,max_prob,mins_25%,mins_75%,mins_mean,oga_25%,oga_75%,oga_mean,pcp_25%,pcp_75%,pcp_mean,pe_25%,pe_75%,pe_mean,player_id,player_name,position_id,pss_25%,pss_75%,pss_mean,season,sh_25%,sh_75%,sh_mean,sv_25%,sv_75%,sv_mean,tck_25%,tck_75%,tck_mean,wf_25%,wf_75%,wf_mean,yc_25%,yc_75%,yc_mean,1.0,2.0,3.0,4.0,position_id_model,position_id_max_prob
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.75,19.0,17.035714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.25,8.535714285714286,6.75,13.0,9.428571428571429,0.0,1.0,0.8571428571428571,0.0,0.0,0.0,0.0,1.0,0.2857142857142857,Goalkeeper,,Goalkeeper,28,0.0,2.0,1.1785714285714286,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,1.0,90.0,90.0,88.82142857142857,0.0,0.0,0.0,0.5071875,0.7418478260869565,0.6344395823805601,0.0,0.0,0.0,15310.0,Nick Rimando,1.0,23.75,31.0,27.357142857142854,2017,0.0,0.0,0.0,1.75,4.0,2.607142857142857,0.0,0.0,0.0,0.0,0.0,0.10714285714285714,0.0,0.0,0.03571428571428571,0.9995371236826699,8.041524436953602e-05,0.00027071015073257135,0.00011175092222799275,1.0,0.9995371236826699
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,28.0,22.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,8.363636363636363,7.0,11.0,9.12121212121212,0.0,1.0,0.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.21212121212121213,Goalkeeper,,Goalkeeper,33,1.0,3.0,1.7272727272727273,0.0,0.0,0.0,0.0,0.0,0.030303030303030307,0.0,0.0,0.0,1.0,90.0,90.0,88.63636363636364,0.0,0.0,0.0,0.6176470588235294,0.8076923076923077,0.6982418034006387,0.0,0.0,0.0,15310.0,Nick Rimando,1.0,27.0,37.0,32.27272727272727,2018,0.0,0.0,0.0,2.0,5.0,3.1818181818181817,0.0,0.0,0.030303030303030307,0.0,0.0,0.21212121212121213,0.0,0.0,0.0,0.9998470187223741,2.2530476114159097e-05,1.1838523712241069e-05,0.000118612277799458,1.0,0.9998470187223741
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,25.0,22.043478260869566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5,9.0,7.521739130434782,7.0,9.5,8.434782608695652,0.0,1.0,0.7826086956521741,0.0,0.0,0.0,0.0,1.0,0.3478260869565217,Goalkeeper,,Goalkeeper,23,0.0,1.5,1.2173913043478262,0.0,0.0,0.0,0.0,0.0,0.13043478260869565,0.0,0.0,0.0,1.0,90.0,90.0,90.0,0.0,0.0,0.0,0.6129032258064516,0.7888888888888891,0.6974625420009499,0.0,0.0,0.0,15310.0,Nick Rimando,1.0,30.0,33.5,31.65217391304348,2019,0.0,0.0,0.0,2.0,4.0,2.652173913043478,0.0,0.0,0.08695652173913042,0.0,0.0,0.13043478260869565,0.0,0.0,0.043478260869565216,0.9995823594391485,0.0001354561745091971,7.52179426685208e-05,0.0002069664436736989,1.0,0.9995823594391485
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,25.0,20.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,8.76,8.0,11.0,9.12,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.2,Goalkeeper,,Goalkeeper,25,1.0,2.0,1.56,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.12,1.0,90.0,90.0,90.0,0.0,0.0,0.0,0.5151515151515151,0.7714285714285715,0.6361707018684918,0.0,0.0,0.0,15337.0,Tim Howard,1.0,28.0,35.0,31.48,2017,0.0,0.0,0.0,1.0,6.0,3.36,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.04,0.9999423441542796,4.386715554796142e-06,3.1106523191400966e-05,2.2162606974220992e-05,1.0,0.9999423441542796
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,19.0,16.060606060606062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,9.454545454545457,7.0,13.0,9.93939393939394,0.0,1.0,0.3939393939393939,0.0,0.0,0.0,0.0,0.0,0.18181818181818185,Goalkeeper,,Goalkeeper,33,1.0,2.0,1.8484848484848484,0.0,0.0,0.0,0.0,0.0,0.09090909090909093,0.0,0.0,0.0,1.0,90.0,90.0,87.87878787878788,0.0,0.0,0.0,0.5416666666666666,0.7333333333333333,0.6471891978527297,0.0,0.0,0.0,15337.0,Tim Howard,1.0,22.0,29.0,24.696969696969692,2018,0.0,0.0,0.0,2.0,5.0,3.6666666666666665,0.0,0.0,0.030303030303030307,0.0,0.0,0.12121212121212123,0.0,0.0,0.030303030303030307,0.9999302936201817,3.945003399137473e-06,4.605250148378231e-05,1.9708874935282487e-05,1.0,0.9999302936201817
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,18.0,13.272727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,8.636363636363637,7.25,11.0,9.181818181818182,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.13636363636363635,Goalkeeper,,Goalkeeper,22,1.0,3.0,1.9545454545454544,0.0,0.0,0.0,0.0,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,1.0,90.0,90.0,85.9090909090909,0.0,0.0,0.0,0.3916666666666667,0.5766317016317016,0.495563802385381,0.0,0.0,0.0,15337.0,Tim Howard,1.0,20.0,33.0,26.22727272727273,2019,0.0,0.0,0.0,1.25,4.0,2.9090909090909087,0.0,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.0,0.045454545454545456,0.9993912820581098,4.785064152039982e-05,0.0004463269935011431,0.00011454030686862914,1.0,0.9993912820581098
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,18.5,14.851851851851851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,11.0,9.481481481481481,8.5,12.0,10.333333333333334,0.0,1.0,0.8518518518518519,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,Goalkeeper,,Goalkeeper,27,0.0,2.0,1.3703703703703705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037037037037037035,1.0,90.0,90.0,90.0,0.0,0.0,0.0,0.4599358974358975,0.6261904761904762,0.5702947379850486,0.0,0.0,0.0,20487.0,Vito Mannone,1.0,21.0,30.0,26.48148148148148,2019,0.0,0.0,0.0,2.0,4.5,3.3703703703703702,0.0,0.0,0.07407407407407407,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.999905144713549,3.852260569189419e-05,2.294538038236155e-05,3.3387300376637535e-05,1.0,0.999905144713549
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,27.0,24.476190476190478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,9.761904761904765,8.0,13.0,10.714285714285714,0.0,1.0,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,Goalkeeper,,Goalkeeper,21,1.0,2.0,1.619047619047619,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,1.0,90.0,90.0,90.0,0.0,0.0,0.0,0.6666666666666666,0.8108108108108109,0.76068914041311,0.0,0.0,0.0,37975.0,Quentin Westberg,1.0,28.0,38.0,32.76190476190476,2019,0.0,0.0,0.0,1.0,3.0,2.619047619047619,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.9958160239114395,0.00034589623754239265,0.003822761874534969,1.5317976483154094e-05,1.0,0.9958160239114395
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.25,14.0,12.470588235294118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,8.882352941176471,7.0,11.75,9.794117647058824,0.0,1.0,0.8823529411764706,0.0,0.0,0.0,0.0,1.0,0.29411764705882354,Goalkeeper,,Goalkeeper,34,0.0,2.0,1.3823529411764706,0.0,0.0,0.0,0.0,0.0,0.029411764705882356,0.0,0.0,0.0,1.0,90.0,90.0,90.0,0.0,0.0,0.0,0.5490909090909091,0.7458333333333333,0.6314488640711112,0.0,0.0,0.0,41210.0,Luis Robles,1.0,16.25,22.0,19.823529411764707,2017,0.0,0.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.0,0.1176470588235294,0.9997662007880183,6.335491792430809e-05,9.553496598058581e-05,7.490932807677022e-05,1.0,0.9997662007880183
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14.0,11.580645161290322,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,9.0,11.0,9.903225806451612,9.5,13.0,11.129032258064516,0.0,1.5,1.1290322580645162,0.0,0.0,0.0,0.0,1.0,0.4516129032258064,Goalkeeper,,Goalkeeper,31,0.0,1.5,0.967741935483871,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.03225806451612903,1.0,90.0,90.0,90.0,0.0,0.0,0.0,0.38392857142857145,0.5811688311688312,0.4981241632561173,0.0,0.0,0.0,41210.0,Luis Robles,1.0,20.0,26.0,23.225806451612907,2018,0.0,0.0,0.0,1.0,4.0,2.7096774193548385,0.0,0.0,0.03225806451612903,0.0,0.0,0.1935483870967742,0.0,0.0,0.03225806451612903,0.9993783205551291,0.00041536485064085955,0.00018972584521883418,1.6588749011410757e-05,1.0,0.9993783205551291
