2017 player id,player name,2017 position id
245,Tyler Adams,3
246,Gideon Baah,2
247,Justin Bilyeu,2
248,Aurelien Collin,2
249,Connor Lade,2
250,Kemar Lawrence,2
251,Sal Zizzo,2
252,Damien Perrinelle,2
253,Sean Davis,3
254,Derrick Etienne,3
255,Felipe Martins,3
256,Mike Grella,3
257,Sacha Kljestan,3
258,Zeiko Lewis,3
259,Dan Metzger,3
260,Alex Muyl,3
261,Daniel Royer,3
262,Arun Basuljevic,3
263,Brandon Allen,4
264,Gonzalo Veron,4
265,Bradley Wright-Phillips,4
266,Hassan Ndam,2
267,Joe Bendik,1
268,Earl Edwards Jr.,1
269,Mason Stajduhar,1
270,Josh Saunders,1
271,Jose Aja,2
272,Kevin Alston,2
273,Conor Donovan,2
274,Devron Garcia,2
275,Seb Hines,2
276,David Mateos,2
277,Victor Giro,2
278,Rafael Ramos,2
279,Tommy Redding,2
280,Donny Toia,2
281,Jonathan Spector,2
282,Servando Carrasco,3
283,Pierre Da Silva,3
284,Cristian Higuita,3
285,Will Johnson,3
286,Kaka,3
287,Richmond Laryea,3
288,Antonio Nocerino,3
289,Matias Perez Garcia,3
290,Carlos Rivas,3
291,Tony Rocha,3
292,Brek Shea,3
293,Hadji Barry,4
294,Cyle Larin,4
295,Bryan Rochez,4
296,Andre Blake,1
297,John McCarthy,1
298,Fabio Alves,2
299,Raymon Gaddis,2
300,Richie Marquez,2
301,Keegan Rosenberry,2
302,Ken Tribbett,2
303,Auston Trusty,2
304,Giliano Wijnaldum,2
305,Joshua Yaro,2
306,Roland Alberg,3
307,Eric Ayuk,3
308,Alejandro Bedoya,3
309,Brian Carroll,3
310,Warren Creavalle,3
311,Derrick Jones,3
312,Maurice Edu,3
313,Ilson Pereira Dias Junior,3
314,Chris Pontius,3
315,Charlie Davies,4
316,Fabian Herbers,4
317,CJ Sapong,4
318,Jay Simpson,4
319,Oguchi Onyewu,2
320,Jeff Attinella,1
321,Jake Gleeson,1
322,Kendall McIntosh,1
323,Gbenga Arokoyo,2
324,Rennico Clarke,2
325,Marco Farfan,2
326,Roy Miller,2
327,Chance Myers,2
328,Amobi Okugo,2
329,Alvas Powell,2
330,Liam Ridgewell,2
331,Zarek Valentin,2
332,Vytautas Andriuskevicius,2
333,Victor Arboleda,3
334,Dairon Asprilla,3
335,Jack Barmby,3
336,Diego Chara,3
337,Darlington Nagbe,3
338,Diego Valeri,3
339,Ben Zemanski,3
340,David Guzman,3
341,Fanendo Adi,4
342,Jeremy Ebobisse,4
343,Darren Mattocks,4
344,Jack McInerney,4
345,Lucas Melano,4
346,Lalo Fernandez,1
347,Nick Rimando,1
348,Matt Van Oekel,1
349,Tony Beltran,2
350,Justen Glad,2
351,Aaron Maund,2
352,Demar Phillips,2
353,Chris Schuler,2
354,Chris Wingert,2
355,David Horst,2
356,Danilo Acosta,3
357,Jordan Allen,3
358,Kyle Beckerman,3
359,Jose Hernandez,3
360,Omar Holness,3
361,Luke Mulholland,3
362,Albert Rusnak,3
363,Sunday Stephen,3
364,Luis Silva,3
365,Yura Movsisyan,4
366,Joao Plata,4
367,Sebastian Saucedo,4
368,Ricardo Velazco,4
369,Chad Barrett,4
370,David Bingham,1
371,Andrew Tarbell,1
372,Victor Bernardez,2
373,Kip Colvey,2
374,Shaun Francis,2
375,Andres Imperiale,2
376,Nick Lima,2
377,Marvell Wynne,2
378,Kofi Sarkodie,2
379,Harold Cummings,2
380,Fatai Alashe,3
381,Cordell Cato,3
382,Darwin Ceren,3
383,Simon Dawkins,3
384,Anibal Godoy,3
385,Marc Pelosi,3
386,Shea Salinas,3
387,Matheus Silva,3
388,Tommy Thompson,3
389,Jackson Yueill,3
390,Quincy Amarikwa,4
391,Chris Wondolowski,4
392,Marcos Urena,4
393,Stefan Frei,1
394,Bryan Meredith,1
395,Tyler Miller,1
396,Tony Alfaro,2
397,Brad Evans,2
398,Oniel Fisher,2
399,Joevin Jones,2
400,Chad Marshall,2
401,Roman Torres,2
402,Nouhou Tolo,2
403,Osvaldo Alonso,3
404,Alvaro Fernandez,3
405,Aaron Kovar,3
406,Nicolas Lodeiro,3
407,Cristian Roldan,3
408,Harry Shipp,3
409,Henry Wingo,3
410,Seyi Adekoya,4
411,Will Bruin,4
412,Clint Dempsey,4
413,Victor Mansaray,4
414,Jordan Morris,4
415,Gustav Svensson,3
416,Andrew Dykstra,1
417,Tim Melia,1
418,Adrian Zendejas,1
419,Saad Abdul-Salaam,2
420,Matt Besler,2
421,Kevin Ellis,2
422,Igor Juliao,2
423,Jimmy Medranda,2
424,Ike Opara,2
425,Erik Palmer-Brown,2
426,Tyler Pasher,2
427,Seth Sinovic,2
428,Roger Espinoza,3
429,Benny Feilhaber,3
430,Gerso Fernandes,3
431,Benji Joya,3
432,Soni Mustivar,3
433,Lawrence Olum,3
434,Ilie Sanchez,3
435,Graham Zusi,3
436,Latif Blessing,4
437,Dom Dwyer,4
438,Cameron Iwasa,4
439,Cameron Porter,4
440,Diego Rubio,4
441,Daniel Salloi,4
442,Christian Volesky,4
443,Soony Saad,4
444,Alex Bono,1
445,Clint Irwin,1
446,Brandon Aubrey,2
447,Steven Beitashour,2
448,Nick Hagglund,2
449,Drew Moor,2
450,Ashtone Morgan,2
451,Justin Morrow,2
452,Eriq Zavaleta,2
453,Michael  Bradley,3
454,Sergio Camargo,3
455,Jay Chapman,3
456,Armando Cooper,3
457,Marky Delgado,3
458,Tsubasa Endoh,3
459,Jonathon Osorio,3
460,Jozy Altidore,4
461,Mo Babouli,4
462,Sebastian Giovinco,4
463,Jordan Hamilton,4
464,Tosaint Ricketts,4
465,Chris Mavinga,2
466,David Ousted,1
467,Spencer Richey,1
468,Paolo Tornaghi,1
469,Alphonso Davies,2
470,Marcel de Jong,2
471,Christian Dean,2
472,David Edgar,2
473,Jordan Harvey,2
474,Brett Levis,2
475,Tim Parker,2
476,Sheanon Williams,2
477,Cole Seiler,2
478,Kendall Waston,2
479,Christian Bolanos,3
480,Marco Bustos,3
481,Deybi Flores,3
482,Erik Hurtado,3
483,Andrew Jacobson,3
484,Matias Laba,3
485,Ben McKendry,3
486,Nicolas Mezquida,3
487,Cristian Techera,3
488,Russell Teibert,3
489,Yordy Reyna,3
490,Giles Barnes,4
491,Kyle Greig,4
492,Kekuta Manneh,4
493,Alec Kann,1
494,Alexander Tambakis,1
495,Mikey Ambrose,2
496,Mark Bloom,2
497,Greg Garza,2
498,Zach Loyd,2
499,Michael Parkhurst,2
500,Miles Robinson,2
501,Leandro Gonzalez Pirez,2
502,Tyrone Mears,2
503,Miguel Almiron,3
504,Yamil Asad,3
505,Andrew Carleton,3
506,Chris Goslin,3
507,Julian Gressel,3
508,Harrison Heath,3
509,Kevin Kratz,3
510,Jeff Larentowicz,3
511,Chris McCann,3
512,Jacob Peterson,3
513,Kenwyne Jones,4
514,Jeffrey Otoo,4
515,Brandon Vazquez,4
516,Hector Villalba,4
517,Romario Williams,4
518,Anton Walkes,2
519,Patrick McLain,1
520,John Alvbage,1
521,Francisco Calvo,2
522,Justin Davis,2
523,Vadim Demidov,2
524,Joseph Greenspan,2
525,Brent Kallman,2
526,Kevin Venegas,2
527,Jermaine Taylor,2
528,Miguel Ibarra,3
529,Ibson Barreto da Silva,3
530,Collin Martin,3
531,Mohammed Saied,3
532,Johan Venegas,3
533,Bernardo Anor,3
534,Rasmus Schuller,3
535,Kevin Molino,3
536,Collen Warner,3
537,Abu Danladi,4
538,Femi Hollinger-Janzen,4
539,Christian Ramirez,4
540,Benoit Cheyrou,3
541,Sebastian Blanco,3
542,Josef Martinez,4
543,Danny Hoesen,4
544,Florian Jungwirth,2
545,Haris Medunjanin,3
546,Fabrice-Jean Picault,4
547,Jahmir Hyka,3
548,Carlos Carmona,3
549,Brooks Lennon,4
550,Marcus Epps,3
551,Hernan Grana,2
552,Carlos Cermeno,3
553,Bashkim Kadrii,3
554,Adam Najem,3
555,Andrew Wheeler-Omiunu,3
556,DaMarcus Beasley,2
557,Jakob Nerwinski,2
558,Jose de Lima Junior,3
559,Maximiliano Moralez,3
560,Fredy Montero,4
561,Joshua Gatt,3
562,Rodney Wallace,3
563,Logan Ketterer,1
564,Connor Maloney,2
565,Walker Hume,2
566,Jerome Thiesson,2
567,Yangel Herrera,3
568,John Stertzer,3
569,Kwame Awuah,2
570,Michael Amir Murillo,2
571,Victor Vazquez,3
572,Adrian Arregui,3
573,Ben Sweat,2
574,Aaron Long,2
575,Matej Dekovic,2
576,Brandt Bronico,3
577,Aaron Jones,2
578,Jack Elliott,2
579,Colton Storm,2
580,Mauro Rosales,3
581,Kyle Reynish,1
582,Taylor Hunter,2
583,Joseph Holland,3
584,Jose Rodriguez,3
585,George Malki,3
586,Bradley Diallo,2
587,Daniel Lovitz,2
588,Joshua Smith,2
589,Maxim Tissot,2
590,Kevin Garcia,2
591,Nathan Smith,2
592,Scott Sutter,2
593,Justin Schmidt,2
594,Reagan Dunk,2
595,Jordy Delem,3
596,Zach Mathers,3
597,Raheem Edwards,4
598,Jaime Villarreal,3
599,Jon Kempin,1
600,Ismaila Jome,3
601,Danny Deakin,3
602,Moussa Sane,4
603,Fredrik Gulbrandsen,4
604,Jake McGuire,1
605,Johan Brunell,2
606,Mike da Fonte,2
607,Matt Bersano,1
608,Bastian Schweinsteiger,3
609,Oyvind Alseth,2
610,Jason Hernandez,2
611,Mark Pais,1
612,Sam Hamilton,3
613,Luis Gil,3
614,Leonardo Pereira,2
615,Chris Korb,2
616,Blerim Dzemaili,3
617,Jefferson Savarino,4
618,Bernie Ibini-Isei,4
619,Ben Spencer,4
620,Lindo Mfeka,3
621,Jacob Lissek,1
622,Gershon Koffie,3
623,Amer Didic,2
624,Deshorn Brown,4
625,Brad Guzan,1
626,Tomas Martinez,3
627,Charlie Ward,3
628,Pele van Anholt,2
629,Michael Boxall,2
630,Sam Nicholson,3
631,James Sands,2
632,Larrys Mabiala Destin,2
633,Marcelo Andres Silva Fernandez,2
634,Valeri Kazaishvili,3
635,Kelvin Leerdam,2
636,Cristian Lobato,3
637,Nicolas Hasler,2
638,Stefan Marinovic,1
639,Fidel Escobar,2
640,Jonathan dos Santos,3
641,Deian Boldor,2
642,Claude Dielna,2
643,Muhamed Keita,3
644,Bill Poni Tuiloma,3
645,Francois Affolter,2
646,Stefan Aigner,3
647,Pedro Miguel Martins Santos,3
648,Russell Canouse,3
649,Bruno Miranda,4
650,Zoltan Stieber,4
651,Luis Gonzalez,3
652,Philippe Senderos,2
653,Alex Kapp,1
654,Samuel Piette,3
655,Victor Yoshimar Yotun,2
656,Victor Rodriguez,3
657,Paul Arriola,3
658,Vincent Bezecourt,3
659,James Musa,3
660,Krisztian Nemeth,4
661,Aly Ghazal,3
662,Steve Clark,1
663,Richard Sanchez,1
664,Jose Leiton,3
665,Andraz Struna,2
666,Michael Ciani,2
667,Kevin Renato Fortes Oliveira,3
668,Jorge Corrales,2
669,Kharlton Belmar,4
670,Emmanuel Igiebor,3
