2018_player_id,2018_player_name,2018_position_id,2018_team_id,2017_player_id,2017_player_name,2017_position_id,new_player_id
110118,Matt Lampson,1,6977,2,Matt Lampson,1,110118
133042,Jonathan Campbell,2,1207,3,Jonathan Campbell,2,133042
86898,Johan Kappelhof,2,1207,6,Johan Kappelhof,2,86898
172474,Brandon Vincent,2,1207,8,Brandon Vincent,2,172474
41625,Arturo Alvarez,3,1897,9,Arturo Alvarez,3,41625
220580,Drew Conner,3,1207,10,Drew Conner,3,220580
41626,Dax McCarty,3,1207,14,Dax McCarty,3,41626
197428,Matt Polster,2,1207,15,Matt Polster,3,197428
246874,Djordje Mihailovic,3,1207,16,Djordje Mihailovic,3,246874
126174,David Accam,3,5513,17,David Accam,4,126174
66238,Michael de Leeuw,4,1207,20,Michael de Leeuw,4,66238
82064,Nemanja Nikolic,4,1207,21,Nemanja Nikolic,4,82064
152151,Luis Solignac,3,1207,22,Luis Solignac,4,152151
245013,Daniel Johnson,3,1207,23,Daniel Johnson,3,245013
245017,Stefan Cleveland,1,1207,24,Stefan Cleveland,1,245017
15337,Tim Howard,1,436,26,Tim Howard,1,15337
95276,Zac MacMath,1,436,27,Zac MacMath,1,95276
41492,Marc Burch,2,6977,28,Marc Burch,2,41492
234251,Kortne Ford,2,436,31,Kortne Ford,2,234251
164480,Eric Miller,2,436,32,Eric Miller,2,164480
202407,Axel Sjoberg,2,436,33,Axel Sjoberg,2,202407
131833,Jared Watts,2,436,34,Jared Watts,2,131833
163042,Micheal Azira,3,436,36,Michael Azira,3,163042
60235,Sam Cronin,3,6977,37,Sam Cronin,3,60235
177954,Marlon Hairston,2,436,38,Marlon Hairston,3,177954
245617,Ricardo Perez,3,436,39,Ricardo Perez,3,245617
78015,Dillon Powers,3,6900,40,Dillon Powers,3,78015
151954,Dillon Serna,3,436,41,Dillon Serna,3,151954
116185,Bismark Adjei-Boateng,3,436,42,Bismark Adjei-Boateng,3,116185
202376,Dominique Badji,4,436,43,Dominique Badji,4,202376
166317,Caleb Calvert,4,436,44,Caleb Calvert,4,166317
41921,Shkelzen Gashi,3,436,45,Shkelzen Gashi,4,41921
41667,Alan Gordon,4,1207,46,Alan Gordon,4,41667
164484,Zack Steffen,1,454,48,Zack Steffen,1,164484
151939,Brad Stuver,1,9668,49,Brad Stuver,1,151939
244927,Lalas Abubakar,2,454,50,Lalas Abubakar,2,244927
49483,Harrison Afful,2,454,51,Harrison Afful,2,49483
234406,Alex Crognale,2,454,52,Alex Crognale,2,234406
121332,Waylon Francis,2,3500,53,Waylon Francis,2,121332
66905,Jonathan Mensah,2,454,54,Jonathan Mensah,2,66905
62535,Jukka Raitala,2,1616,56,Jukka Raitala,2,62535
60716,Gaston Sauro,2,454,57,Gaston Sauro,2,60716
94479,Josh Williams,2,454,58,Josh Williams,2,94479
95545,Mohammed Abu,3,454,59,Mohammed Abu,3,95545
110583,Ethan Finlay,3,6977,61,Ethan Finlay,3,110583
244998,Niko Hansen,3,454,62,Niko Hansen,3,244998
47681,Federico Higuain,3,454,63,Federico Higuain,3,47681
