assists,assists std,bcc,bcc std,blocks,blocks std,clearances,clearances std,crosses,crosses std,games,goals,goals std,interceptions,interceptions std,key passes,key passes std,pass completion,pass completion std,passes attempted,passes attempted std,passes completed,passes completed std,player id,player name,position id,rc,rc std,recoveries,recoveries std,season,shots,shots std,tackles,tackles std,yc,yc std
0.0,0.0,0.0,0.0,0.125,0.33071891388307384,1.375,0.8569568250501305,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.5980467777836199,0.2011308353033368,15.25,5.695392874947259,25.125,3.179524335494226,1,Jorge Rodrigo Bava,1,0.0,0.0,9.625,1.9324531042175384,2017,0.0,0.0,0.0,0.0,0.125,0.33071891388307384
0.0,0.0,0.0,0.0,0.0,0.0,0.75,1.1636866703140785,0.0,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.6594855875493054,0.1666317716476683,16.375,4.828841303390838,25.625,7.004834639970692,2,Matt Lampson,1,0.0,0.0,9.916666666666666,2.5317429218272185,2017,0.0,0.0,0.08333333333333333,0.2763853991962833,0.16666666666666666,0.372677996249965
0.0,0.0,0.0,0.0,1.9,1.8681541692269406,3.9,2.2561028345356955,0.0,0.0,10,0.0,0.0,0.5,0.6708203932499369,0.2,0.4000000000000001,0.8224502395118833,0.09940940920317261,41.4,17.165080832900266,49.3,18.105524018928588,3,Jonathan Campbell,2,0.0,0.0,3.8,2.7856776554368237,2017,0.1,0.30000000000000004,1.2,1.3266499161421599,0.1,0.30000000000000004
0.5714285714285714,1.049781318335648,0.14285714285714285,0.34992710611188266,1.0,1.0690449676496976,2.0,1.0690449676496976,1.5714285714285714,1.049781318335648,7,0.0,0.0,0.0,0.0,2.0,0.7559289460184544,0.7512485217372437,0.05982255676190514,32.714285714285715,8.64728340024089,43.142857142857146,10.58878883440367,4,Patrick Doody,2,0.0,0.0,4.285714285714286,1.8294640678379568,2017,0.14285714285714285,0.3499271061118826,1.0,1.0690449676496976,0.0,0.0
0.0,0.0,0.0,0.0,1.3333333333333333,0.6666666666666666,2.7777777777777777,2.9731307022799225,0.8888888888888888,0.7370277311900889,9,0.0,0.0,0.1111111111111111,0.31426968052735443,0.6666666666666666,0.6666666666666666,0.7484547001891417,0.11884244885618339,32.666666666666664,13.291601358251256,42.22222222222222,11.70733652010831,5,Michael Harrington,2,0.0,0.0,4.444444444444445,2.9855619650098673,2017,0.0,0.0,1.5555555555555556,1.1653431646335017,0.0,0.0
0.13333333333333333,0.33993463423951903,0.0,0.0,3.1666666666666665,1.6549588783075213,4.266666666666667,3.3359989341858145,0.13333333333333333,0.33993463423951903,30,0.0,0.0,0.5333333333333333,0.805536398239638,0.23333333333333334,0.4229525846816506,0.8433426018060549,0.1026883540566893,45.5,15.677478538761688,53.3,15.205591076969023,6,Johan Kappelhof,2,0.0,0.0,3.8666666666666667,2.2910453703252776,2017,0.13333333333333333,0.33993463423951903,2.1666666666666665,1.507389207279335,0.16666666666666666,0.37267799624996495
0.07692307692307693,0.2664693550105965,0.0,0.0,1.8846153846153846,1.6716395240077484,4.538461538461538,2.545444939657584,0.0,0.0,26,0.0,0.0,0.6538461538461539,0.9584565995674702,0.11538461538461539,0.31948553318915673,0.8808352580758023,0.06814190118287122,48.88461538461539,19.139823411846997,54.53846153846154,19.085295929328925,7,Joao Meira,2,0.0,0.0,4.6923076923076925,2.6131211925327738,2017,0.19230769230769232,0.3941134909984461,1.0769230769230769,1.2064913185660096,0.11538461538461539,0.31948553318915673
0.19230769230769232,0.48192169562083337,0.07692307692307693,0.26646935501059654,1.1153846153846154,0.9737683770132433,2.6153846153846154,2.020603928702107,0.6153846153846154,0.7378202343558029,26,0.07692307692307693,0.2664693550105965,0.38461538461538464,0.48650425541051995,0.8076923076923077,0.8329387626041429,0.7731435212063401,0.11901585374738753,31.96153846153846,10.949115767708118,40.30769230769231,10.35437191487148,8,Brandon Vincent,2,0.0,0.0,4.0,2.586949495507729,2017,0.6923076923076923,0.8668790515065112,1.5,1.216868616888952,0.11538461538461539,0.31948553318915673
0.16666666666666666,0.3726779962499649,0.25,0.4330127018922193,0.6666666666666666,0.8498365855987975,0.8333333333333334,1.2801909579781012,0.75,1.0103629710818451,12,0.25,0.4330127018922193,0.0,0.0,1.6666666666666667,1.247219128924647,0.7695884527840501,0.05482948693646209,23.916666666666668,7.216397223607421,31.166666666666668,9.520445834565148,9,Arturo Alvarez,3,0.0,0.0,4.75,2.9190466480228325,2017,1.5833333333333333,1.2555432644432805,2.1666666666666665,1.6244657241348273,0.08333333333333333,0.2763853991962833
0.1,0.30000000000000004,0.0,0.0,1.0,1.0954451150103321,0.8,0.9797958971132713,0.6,1.0198039027185568,10,0.0,0.0,0.1,0.30000000000000004,0.9,0.7000000000000001,0.8122973848792107,0.10992641977550204,25.2,8.4,30.6,8.822698000045111,10,Drew Conner,3,0.0,0.0,4.1,1.8138357147217055,2017,0.3,0.45825756949558394,1.1,0.8306623862918076,0.0,0.0
,,,,,,,,,,0,,,,,,,,,,,,,11,Collin Fernandez,3,,,,,2017,,,,,,
0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,1,0.0,0.0,0.0,0.0,2.0,0.0,0.8055555555555556,0.0,29.0,0.0,36.0,0.0,12,John Goossens,3,0.0,0.0,5.0,0.0,2017,2.0,0.0,1.0,0.0,1.0,0.0
